date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:00:48	74159/74159	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:00:48%20GMT	https://castillofab.com/vee-fab	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/vee-fab.html	(from https://castillofab.com/index.php?route=product/manufacturer)
18:00:50	56111/56111	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:00:50%20GMT	https://castillofab.com/index.php?route=product/manufacturer/info&manufacturer_id=93	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/index3564.html	(from https://castillofab.com/index.php?route=product/manufacturer)
18:00:51	97809/97809	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:00:51%20GMT	https://castillofab.com/venisha	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/venisha.html	(from https://castillofab.com/index.php?route=product/manufacturer)
18:00:52	56109/56109	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:00:52%20GMT	https://castillofab.com/index.php?route=product/manufacturer/info&manufacturer_id=158	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/indexaf46.html	(from https://castillofab.com/index.php?route=product/manufacturer)
18:00:54	118281/118281	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:00:54%20GMT	https://castillofab.com/vf	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/vf.html	(from https://castillofab.com/index.php?route=product/manufacturer)
18:00:56	56093/56093	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:00:55%20GMT	https://castillofab.com/index.php?route=product/manufacturer/info&manufacturer_id=225	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/index962a.html	(from https://castillofab.com/index.php?route=product/manufacturer)
18:00:56	56103/56103	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:00:56%20GMT	https://castillofab.com/index.php?route=product/manufacturer/info&manufacturer_id=211	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/index5e87.html	(from https://castillofab.com/index.php?route=product/manufacturer)
18:00:58	61948/61948	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:00:58%20GMT	https://castillofab.com/Vinayproducts	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/Vinayproducts.html	(from https://castillofab.com/index.php?route=product/manufacturer)
18:00:59	86463/86463	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:00:59%20GMT	https://castillofab.com/viona	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/viona.html	(from https://castillofab.com/index.php?route=product/manufacturer)
18:01:01	98608/98608	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:00%20GMT	https://castillofab.com/vipul	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/vipul.html	(from https://castillofab.com/index.php?route=product/manufacturer)
18:01:02	79449/79449	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:02%20GMT	https://castillofab.com/vishnu-impex	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/vishnu-impex.html	(from https://castillofab.com/index.php?route=product/manufacturer)
18:01:03	56104/56104	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:03%20GMT	https://castillofab.com/index.php?route=product/manufacturer/info&manufacturer_id=217	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/index13db.html	(from https://castillofab.com/index.php?route=product/manufacturer)
18:01:04	62731/62731	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:04%20GMT	https://castillofab.com/index.php?route=product/manufacturer/info&manufacturer_id=185	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/index11fe.html	(from https://castillofab.com/index.php?route=product/manufacturer)
18:01:06	120509/120509	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:05%20GMT	https://castillofab.com/vitara-fashion	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/vitara-fashion.html	(from https://castillofab.com/index.php?route=product/manufacturer)
18:01:07	62797/62797	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:07%20GMT	https://castillofab.com/index.php?route=product/manufacturer/info&manufacturer_id=97	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/indexa618.html	(from https://castillofab.com/index.php?route=product/manufacturer)
18:01:09	79556/79556	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:08%20GMT	https://castillofab.com/vivek-fashion	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/vivek-fashion.html	(from https://castillofab.com/index.php?route=product/manufacturer)
18:01:10	56093/56093	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:10%20GMT	https://castillofab.com/index.php?route=product/manufacturer/info&manufacturer_id=70	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/index2471.html	(from https://castillofab.com/index.php?route=product/manufacturer)
18:01:11	122395/122395	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:11%20GMT	https://castillofab.com/index.php?route=product/manufacturer/info&manufacturer_id=117	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/indexda1f.html	(from https://castillofab.com/index.php?route=product/manufacturer)
18:01:13	56098/56098	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:12%20GMT	https://castillofab.com/index.php?route=product/manufacturer/info&manufacturer_id=159	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/indexd59a.html	(from https://castillofab.com/index.php?route=product/manufacturer)
18:01:14	55868/55868	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:14%20GMT	https://castillofab.com/vritika	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/vritika.html	(from https://castillofab.com/index.php?route=product/manufacturer)
18:01:15	55886/55886	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Nov%202021%2012:01:15%20GMT	https://castillofab.com/vrunda-tex	I:/Project%20Materials/Web/My%20Handicraft/httrack]/myhandicraft/castillofab.com/vrunda-tex.html	(from https://castillofab.com/index.php?route=product/manufacturer)
